id,name,birthday,nationality
98,Hugh Jackman,1968-10-12,USA
99,Rosario Dawson,1979-05-09,USA
100,Andrew Garfield,1983-08-20,USA
101,Emma Watson,1990-04-15,USA
102,Anya Taylor-Joy,1996-04-16,USA
103,Saoirse Ronan,1994-04-12,USA
104,Emily Blunt,1983-02-23,USA
105,Helen Mirren,1945-07-26,USA
106,Julianne Moore,1960-12-03,USA
107,Nicole Kidman,1967-06-20,USA
108,Rebel Wilson,1980-03-02,USA
109,Kate Winslet,1975-10-05,USA
110,Evangeline Lilly,1979-08-03,USA
111,James McAvoy,1979-04-21,USA
112,Idris Elba,1972-09-06,USA
113,Rachel McAdams,1978-11-17,USA
114,Shailene Woodley,1991-11-15,USA
115,Blake Lively,1987-08-25,USA
116,Henry Cavill,1983-05-05,USA
117,Chris Hemsworth,1983-08-11,USA
118,Liam Hemsworth,1990-01-13,USA
119,Alexander Skarsgård,1976-08-25,USA
120,Ewan McGregor,1971-03-31,USA
121,Sigourney Weaver,1949-10-08,USA
122,Drew Barrymore,1975-02-22,USA
123,Linda Hamilton,1956-09-26,USA
124,Haley Joel Osment,1988-04-10,USA
125,Shia LaBeouf,1986-06-11,USA
126,Zach Galifianakis,1969-10-01,USA
127,Chloë Grace Moretz,1997-02-10,USA
128,Dakota Fanning,1994-02-23,USA
129,Elle Fanning,1998-04-09,USA
130,Hailee Steinfeld,1996-12-11,USA
131,Kate Hudson,1979-04-19,USA
132,Demi Moore,1962-11-11,USA
133,Bryce Dallas Howard,1981-03-02,USA
134,Jena Malone,1984-11-21,USA
135,Kristen Bell,1980-07-18,USA
136,John Krasinski,1979-10-20,USA
137,Emily VanCamp,1986-05-12,USA
138,Lauren Cohan,1982-01-07,USA
139,Danai Gurira,1978-02-14,USA
140,Norman Reedus,1969-01-06,USA
141,Jeffrey Dean Morgan,1966-04-22,USA
142,Nicolas Cage,1964-01-07,USA
143,Danny DeVito,1944-11-17,USA
144,Billy Crystal,1948-03-14,USA
145,Robin Wright,1966-04-08,USA
146,Michael Keaton,1951-09-05,USA
147,Kathleen Turner,1954-06-19,USA
148,Geena Davis,1956-01-21,USA
149,Richard Gere,1949-08-31,USA
150,Mel Gibson,1956-01-03,USA
151,Jamie Lee Curtis,1958-11-22,USA
152,Tom Selleck,1945-01-29,USA
153,Sally Field,1946-11-06,USA
154,Goldie Hawn,1945-11-21,USA
155,Cher,1946-05-20,USA
156,Barbara Hershey,1948-02-05,USA
157,Alan Arkin,1934-03-26,USA
158,Dustin Hoffman,1937-08-08,USA
159,Gene Hackman,1930-01-30,USA
160,Robert Redford,1936-08-18,USA
161,Clint Eastwood,1930-05-31,USA
162,Jane Fonda,1937-12-21,USA
163,Faye Dunaway,1941-01-14,USA
164,Maggie Smith,1934-12-28,USA
165,Olivia Colman,1974-01-30,USA
166,Ruth Negga,1982-01-07,USA
167,Claire Foy,1984-04-16,USA
168,John Boyega,1992-03-17,USA
169,Daisy Ridley,1992-04-10,USA
170,Adam Sandler,1966-09-09,USA
171,Will Ferrell,1967-07-16,USA
172,Bill Hader,1978-06-07,USA
173,Seth Rogen,1982-04-15,USA
174,Jon Favreau,1966-10-19,USA
175,Christopher Walken,1943-03-31,USA
176,Diane Keaton,1946-01-05,USA
177,Mia Farrow,1945-02-09,USA
178,Tippi Hedren,1930-01-19,USA
179,Sharon Stone,1958-03-10,USA
180,Marisa Tomei,1964-12-04,USA
181,Rene Russo,1954-02-17,USA
182,Annette Bening,1958-05-29,USA
183,Susan Sarandon,1946-10-04,USA
184,Madonna,1958-08-16,USA
185,Gwyneth Paltrow,1972-09-27,USA
186,Cate Blanchett,1969-05-14,USA
187,Rachel Weisz,1970-03-07,USA
188,Naomi Watts,1968-09-28,USA
189,Elijah Wood,1981-01-28,USA
190,Daniel Radcliffe,1989-07-23,USA
191,Rupert Grint,1988-08-24,USA
192,Tom Felton,1987-09-22,USA
193,Bonnie Wright,1991-02-17,USA
194,Eddie Redmayne,1982-01-06,USA
195,Felicity Jones,1983-10-17,USA
196,Katherine Langford,1996-04-29,USA
197,Rose Byrne,1979-07-24,USA
198,Miranda Kerr,1983-04-20,USA
199,Lucy Liu,1968-12-02,USA
200,Catherine Zeta-Jones,1969-09-25,USA
